Zeit	01.10 (MFC01)	02.10 (MFC02)	03.20 (MFC03)	TC00	TC01	TC02	TC03	TC04	TC05	TC06	TC07	NH3 (%)	NH3 (ppm)
05.11.24 00:01:09	2007,307016	0,0	-1,583545	46,824902	249,035019	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,004053	831,418735
05.11.24 00:01:11	2009,380367	0,0	-1,583545	46,824902	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,009059	831,468852
05.11.24 00:01:13	2006,828633	0,0	-1,583545	46,824902	249,035019	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	831,468852
05.11.24 00:01:15	2007,067764	0,0	-1,583545	46,824902	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	830,968208
05.11.24 00:01:17	2006,589382	0,0	-1,647023	46,824902	249,035019	797,237366	796,303528	779,929932	752,474731	799,914368	12,116732	-0,009059	830,567623
05.11.24 00:01:19	2007,067764	0,0	-1,583545	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	829,716511
05.11.24 00:01:21	2007,705728	0,0	-1,583545	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	825,410482
05.11.24 00:01:23	2007,227345	0,0	-1,583545	46,824902	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	823,457848
05.11.24 00:01:25	2008,742403	0,0	-1,583545	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	817,399653
05.11.24 00:01:27	2006,828633	0,0	-1,583545	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	813,394151
05.11.24 00:01:29	2006,828633	0,0	-1,583545	46,887161	249,035019	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	812,392688
05.11.24 00:01:31	2005,074204	0,0	-1,583545	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	811,140991
05.11.24 00:01:33	2005,632377	0,0	-1,583545	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	810,990815
05.11.24 00:01:35	2008,10444	0,0	-1,583545	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	810,890581
05.11.24 00:01:37	2007,705728	0,0	-1,647023	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,009059	811,140991
05.11.24 00:01:39	2007,865309	0,0	-1,583545	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	811,24105
